circo,nom circo,color1,candidat1,score1,candidat2,score2,candidat3,score3,candidat4,score4
6-7,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
6-8,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
6-9,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
7-1,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
7-2,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
7-3,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
8-1,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
8-2,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
8-3,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
9-1,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
9-2,Ain 1,FI,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
10-1,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
10-2,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
10-3,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
11-1,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
11-2,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
11-3,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
12-1,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
12-2,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
12-3,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
67-1,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
67-2,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
67-3,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
67-4,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
67-5,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
67-6,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
67-7,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
67-8,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
67-9,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
13-1,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
13-2,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
13-3,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
13-4,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
13-5,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
13-6,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
13-7,Ain 1,EXD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
13-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
13-9,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
13-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
13-11,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
13-12,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
13-13,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
13-14,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
13-15,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
13-16,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
14-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
14-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
14-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
14-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
14-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
14-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
15-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
15-2,Ain 1,FN,jacque delors,0.51,Pierre Pipeau,0.47,Etienne lecram,0.01,,
16-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
16-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
16-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
17-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
17-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
17-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
17-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
17-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
18-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
18-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
18-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
19-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
19-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
2A-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
2A-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
21-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
21-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
21-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
21-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
21-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
22-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
22-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
22-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
22-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
22-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
23-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
79-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
79-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
79-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
24-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
24-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
24-3,Ain 1,DVD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
24-4,Ain 1,DVD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
25-1,Ain 1,DVD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
25-2,Ain 1,DVD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
25-3,Ain 1,DVD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
25-4,Ain 1,DVD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
25-5,Ain 1,DVD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
26-1,Ain 1,DVD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
26-2,Ain 1,DVD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
26-3,Ain 1,DVD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
26-4,Ain 1,DVD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
91-1,Ain 1,DVD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
91-2,Ain 1,DVD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
91-3,Ain 1,DVD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
91-4,Ain 1,DVD,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
91-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
91-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
91-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
91-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
91-9,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
91-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
27-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
27-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
27-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
27-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
27-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
28-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
28-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
28-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
28-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
29-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
29-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
29-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
29-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
29-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
29-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
29-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
29-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
99-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
99-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
99-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
99-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
99-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
99-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
99-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
99-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
99-9,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
99-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
99-11,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
30-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
30-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
30-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
30-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
30-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
30-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
32-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
32-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
33-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
33-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
33-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
33-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
33-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
33-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
33-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
33-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
33-9,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
33-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
33-11,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
33-12,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
971-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
971-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
971-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
971-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
973-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
973-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
2B-1,Ain 1,REM,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
2B-2,Ain 1,REM,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
31-1,Ain 1,REM,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
31-2,Ain 1,REM,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
31-3,Ain 1,REM,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
31-4,Ain 1,REM,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
31-5,Ain 1,REM,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
31-6,Ain 1,REM,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
31-7,Ain 1,REM,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
31-8,Ain 1,REM,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
31-9,Ain 1,REM,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
31-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
43-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
43-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
52-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
52-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
5-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
5-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
70-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
70-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
74-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
74-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
74-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
74-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
74-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
74-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
65-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
65-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
87-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
87-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
87-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
68-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
68-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
68-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
68-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
68-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
68-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
92-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
92-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
92-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
92-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
92-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
92-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
92-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
92-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
92-9,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
92-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
92-11,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
92-12,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
92-13,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
34-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
34-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
34-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
34-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
34-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
34-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
34-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
34-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
34-9,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
35-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
35-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
35-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
35-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
35-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
35-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
35-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
35-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
36-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
36-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
37-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
37-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
37-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
37-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
37-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
38-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
38-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
38-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
38-4,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
38-5,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
38-6,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
38-7,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
38-8,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
38-9,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
38-10,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
39-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
39-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
39-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
40-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
40-2,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
40-3,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
974-1,Ain 1,FN,jacque delors,0.52,Pierre Pipeau,0.47,Etienne lecram,0.01,,
